order_id,order_day,delivery_day,product,supplier,order_qty
1,0,7,A형,S1,1087
2,0,11,C형,S1,1309
3,1,14,C형,S2,654
4,1,15,D형,S1,1463
5,2,17,D형,S1,1712
6,2,14,A형,S1,255
7,2,14,D형,S3,281
8,2,16,B형,S1,402
9,3,19,C형,S3,696
10,3,16,D형,S1,652
11,3,16,B형,S1,1570
12,3,17,B형,S2,599
13,3,19,A형,S3,1779
14,4,19,B형,S1,1523
15,4,22,A형,S3,1882
16,5,17,B형,S2,1986
17,5,16,B형,S3,188
18,5,23,D형,S3,1382
19,5,21,B형,S1,1740
20,6,21,C형,S3,114
21,6,14,A형,S1,370
22,6,15,A형,S1,630
23,8,18,D형,S1,452
24,8,20,A형,S1,1615
25,8,16,D형,S1,309
26,8,23,B형,S2,1852
27,8,19,B형,S1,747
28,9,27,B형,S1,1210
29,9,20,B형,S2,846
30,9,22,B형,S1,730
31,9,24,B형,S2,1736
32,9,23,C형,S1,742
33,9,18,A형,S2,1957
34,10,27,A형,S2,1285
35,10,24,B형,S2,751
36,10,30,A형,S3,1735
37,10,23,B형,S3,591
38,10,23,B형,S2,714
39,11,26,C형,S1,1783
40,11,24,A형,S1,421
41,11,30,B형,S2,1772
42,11,22,C형,S2,55
43,11,20,A형,S2,67
44,12,30,C형,S3,318
45,12,25,C형,S2,1249
46,12,32,A형,S3,1709
47,13,27,B형,S2,1699
48,13,25,C형,S2,1267
49,13,32,B형,S3,1299
50,14,27,C형,S2,1981
51,14,27,D형,S2,1900
52,14,32,C형,S3,185
53,15,29,B형,S1,1143
54,15,27,C형,S2,763
55,16,28,B형,S1,312
56,17,30,A형,S1,1601
57,18,33,A형,S3,1107
58,18,39,B형,S3,1339
59,18,31,D형,S3,1056
60,18,25,B형,S2,180
61,18,37,A형,S3,1740
62,19,33,D형,S3,832
63,19,31,B형,S2,478
64,19,31,A형,S1,1293
65,19,29,B형,S1,642
66,20,35,A형,S2,1391
67,20,31,A형,S2,1046
68,21,29,C형,S2,930
69,21,30,C형,S2,244
70,21,28,D형,S2,416
71,22,31,A형,S2,1735
72,22,34,D형,S2,1933
73,22,32,C형,S2,1127
74,23,30,A형,S1,959
75,23,34,B형,S2,400
76,23,36,B형,S2,1448
77,23,35,A형,S2,1313
78,24,33,A형,S1,1092
79,24,32,C형,S1,573
80,24,37,A형,S2,207
81,24,39,B형,S1,1940
82,24,38,B형,S2,511
83,24,38,D형,S1,1323
84,24,38,B형,S2,172
85,25,37,B형,S1,1381
86,25,40,D형,S3,422
87,25,41,B형,S1,1413
88,25,38,C형,S1,440
89,25,39,A형,S2,1016
90,26,33,C형,S2,858
91,26,33,C형,S1,1049
92,27,41,C형,S1,677
93,27,38,B형,S2,708
94,28,39,A형,S1,756
95,28,39,B형,S1,1292
96,28,44,D형,S2,1642
97,28,37,A형,S1,763
98,28,40,A형,S1,91
99,29,39,A형,S3,429
100,29,37,D형,S1,251
101,30,51,A형,S3,1275
102,30,49,A형,S3,1625
103,30,37,A형,S1,463
104,31,39,D형,S3,1091
105,31,40,B형,S1,981
106,31,45,C형,S2,905
107,32,45,C형,S1,1776
108,32,42,B형,S1,571
109,32,51,C형,S3,1266
110,33,41,B형,S1,1107
111,33,47,B형,S3,1757
112,33,47,A형,S1,482
113,33,46,A형,S2,1870
114,33,47,B형,S1,1723
115,34,43,A형,S2,924
116,34,51,A형,S3,1656
117,35,48,D형,S2,1312
118,35,48,B형,S1,677
119,36,45,A형,S1,1713
120,36,48,B형,S1,97
121,36,47,B형,S2,322
122,36,48,A형,S1,1780
123,36,51,A형,S3,1596
124,37,47,B형,S3,632
125,37,51,A형,S3,1972
126,37,50,D형,S1,1330
127,38,50,C형,S1,523
128,38,54,B형,S3,1723
129,38,54,D형,S2,1983
130,38,51,A형,S1,1606
131,38,51,A형,S1,1268
132,38,51,D형,S1,1731
133,39,55,B형,S2,1621
134,39,53,A형,S2,1003
135,39,57,B형,S1,1528
136,40,59,C형,S3,1692
137,40,54,B형,S2,114
138,40,53,A형,S2,949
139,40,57,A형,S1,1875
140,40,48,B형,S1,564
141,41,57,A형,S1,1248
142,41,57,A형,S3,987
143,41,49,B형,S1,1193
144,41,49,B형,S1,704
145,41,57,A형,S1,1292
146,41,63,D형,S3,1545
147,42,55,B형,S2,1489
148,42,59,D형,S1,1671
149,43,56,B형,S1,542
150,43,57,B형,S1,325
151,43,56,B형,S1,1106
152,43,61,C형,S3,370
153,43,58,A형,S3,1274
154,43,54,A형,S1,798
155,44,60,D형,S2,1451
156,44,53,A형,S1,953
157,44,57,B형,S1,1146
158,45,65,C형,S1,1914
159,45,64,A형,S1,1275
160,45,57,B형,S2,1886
161,45,58,D형,S1,523
162,45,60,A형,S2,1935
163,45,62,A형,S3,468
164,45,62,D형,S2,1473
165,46,59,A형,S1,139
166,46,60,A형,S1,1370
167,46,60,D형,S2,1767
168,47,57,A형,S2,577
169,47,58,D형,S2,356
170,48,56,C형,S1,776
171,48,57,C형,S1,180
172,48,61,A형,S3,55
173,48,60,A형,S2,883
174,48,68,C형,S1,1674
175,49,62,C형,S2,836
176,49,63,A형,S1,588
177,49,63,A형,S2,488
178,50,64,A형,S2,204
179,50,63,A형,S2,818
180,50,62,B형,S1,665
181,50,64,B형,S3,925
182,50,63,B형,S3,680
183,50,72,A형,S3,1201
184,51,65,A형,S2,1461
185,51,60,A형,S1,73
186,51,68,A형,S3,61
187,51,63,A형,S2,589
188,51,59,D형,S2,498
189,52,61,B형,S2,222
190,52,62,A형,S1,1798
191,53,71,C형,S3,222
192,53,66,D형,S2,1717
193,53,60,C형,S1,178
194,53,66,B형,S1,1276
195,53,63,B형,S1,794
196,54,61,B형,S1,1139
197,54,67,A형,S3,1067
198,54,66,C형,S1,484
199,54,67,C형,S1,248
200,55,69,B형,S3,1756
201,55,72,D형,S1,1471
202,55,69,C형,S1,1533
203,55,72,C형,S2,1254
204,56,67,A형,S1,1050
205,56,68,A형,S2,1709
206,56,70,A형,S3,363
207,56,74,D형,S2,1232
208,56,68,C형,S1,470
209,56,71,D형,S1,1320
210,57,70,C형,S2,789
211,58,74,C형,S3,882
212,59,69,B형,S2,695
213,59,75,C형,S2,1212
214,59,70,A형,S2,169
215,59,76,C형,S1,1554
216,60,69,A형,S2,842
217,61,74,D형,S1,1962
218,61,72,D형,S1,924
219,61,77,A형,S3,289
220,61,68,C형,S1,609
221,61,69,C형,S2,946
222,61,75,A형,S2,799
223,62,73,B형,S1,566
224,62,80,B형,S3,698
