time_idx,machine_id,shift,diameter_mm,is_anomaly
0,M02,주간,10.0914,0
1,M01,주간,9.688,0
2,M01,주간,10.2251,0
3,M02,주간,10.2822,0
4,M01,주간,9.4147,0
5,M02,주간,9.6093,0
6,M03,주간,10.0384,0
7,M02,주간,9.9051,0
8,M02,주간,9.995,0
9,M01,주간,9.7441,0
10,M02,주간,10.2638,0
11,M02,주간,10.2333,0
12,M01,주간,10.0198,0
13,M01,주간,10.3382,0
14,M03,주간,10.1403,0
15,M03,주간,9.7422,0
16,M02,주간,10.1106,0
17,M03,주간,9.7123,0
18,M01,주간,10.2635,0
19,M01,주간,9.985,0
20,M03,주간,9.9445,0
21,M01,주간,9.7957,0
22,M02,주간,10.3668,0
23,M01,주간,9.9536,0
24,M01,주간,9.8715,0
25,M02,주간,9.8944,0
26,M02,주간,10.1597,0
27,M03,주간,10.1096,0
28,M03,주간,10.1238,0
29,M02,주간,10.1292,0
30,M02,주간,10.6425,0
31,M01,주간,9.8781,0
32,M01,주간,9.8463,0
33,M01,주간,9.7559,0
34,M03,주간,10.1848,0
35,M01,주간,10.3387,0
36,M02,주간,9.9658,0
37,M03,주간,9.748,0
38,M03,주간,9.7527,0
39,M02,주간,10.1952,0
40,M01,주간,10.223,0
41,M02,주간,10.1629,0
42,M02,주간,9.8003,0
43,M01,주간,10.0696,0
44,M03,주간,10.035,0
45,M03,주간,10.0656,0
46,M01,주간,10.2614,0
47,M01,주간,10.0671,0
48,M01,주간,10.2037,0
49,M03,주간,10.0203,0
50,M01,주간,10.0867,0
51,M03,주간,10.1894,0
52,M03,주간,9.5629,0
53,M02,주간,9.9041,0
54,M02,주간,9.8589,0
55,M03,주간,9.8083,0
56,M03,주간,9.9175,0
57,M01,주간,10.4485,0
58,M01,주간,9.7403,0
59,M02,주간,10.2905,0
60,M01,주간,9.4951,0
61,M01,주간,9.8995,0
62,M03,주간,10.0488,0
63,M02,주간,10.1759,0
64,M02,주간,10.2134,0
65,M01,주간,10.238,0
66,M01,주간,9.8954,0
67,M01,주간,9.8613,0
68,M02,주간,10.2574,0
69,M01,주간,9.9426,0
70,M02,주간,9.6173,0
71,M01,주간,9.66,0
72,M02,주간,9.7242,0
73,M02,주간,10.1491,0
74,M01,주간,10.0427,0
75,M02,주간,10.2071,0
76,M01,주간,9.8718,0
77,M01,주간,10.0476,0
78,M03,주간,10.1877,0
79,M03,주간,9.9072,0
80,M02,주간,10.137,0
81,M03,주간,9.8014,0
82,M02,주간,9.8911,0
83,M01,주간,9.8855,0
84,M03,주간,9.6412,0
85,M02,주간,10.1461,0
86,M02,주간,9.8592,0
87,M02,주간,10.0037,0
88,M01,주간,10.1442,0
89,M03,주간,10.134,0
90,M02,주간,10.1996,0
91,M02,주간,9.9705,0
92,M01,주간,9.873,0
93,M03,주간,9.9761,0
94,M01,주간,9.4938,0
95,M01,주간,9.5659,0
96,M03,주간,9.6032,0
97,M01,주간,9.7008,0
98,M02,주간,10.1199,0
99,M03,주간,9.7284,0
100,M03,주간,9.8866,0
101,M02,주간,10.3898,0
102,M03,주간,9.8931,0
103,M03,주간,10.2213,0
104,M03,주간,9.7199,0
105,M01,주간,9.9384,0
106,M03,주간,9.715,0
107,M01,주간,9.8983,0
108,M03,주간,10.2521,0
109,M01,주간,9.4818,0
110,M01,주간,10.1303,0
111,M01,주간,10.0713,0
112,M02,주간,9.8218,0
113,M01,주간,9.5662,0
114,M01,주간,10.0216,0
115,M02,주간,9.8412,0
116,M03,주간,10.0698,0
117,M02,주간,10.0066,0
118,M02,주간,10.4805,0
119,M02,주간,9.9282,0
120,M02,주간,9.693,0
121,M02,주간,10.0538,0
122,M02,주간,10.066,0
123,M01,주간,10.4078,0
124,M01,주간,10.2505,0
125,M03,주간,10.1071,0
126,M02,주간,10.439,0
127,M01,주간,9.6434,0
128,M01,주간,9.8081,0
129,M03,주간,9.722,0
130,M01,주간,9.8831,0
131,M01,주간,9.587,0
132,M03,주간,10.1905,0
133,M02,주간,9.9333,0
134,M02,주간,9.5588,0
135,M03,주간,9.6953,0
136,M01,주간,10.0941,0
137,M02,주간,10.2514,0
138,M03,주간,10.599,0
139,M02,주간,10.8742,0
140,M01,주간,10.1243,0
141,M03,주간,9.7031,0
142,M03,주간,9.3604,0
143,M01,주간,10.0803,0
144,M01,주간,9.7561,0
145,M03,주간,9.8754,0
146,M01,주간,9.8164,0
147,M03,주간,9.9578,0
148,M01,주간,10.3198,0
149,M03,주간,10.0471,0
150,M03,주간,9.9524,0
151,M02,주간,9.6893,0
152,M01,주간,9.4976,0
153,M02,주간,9.8541,0
154,M03,주간,9.9839,0
155,M03,주간,10.5304,0
156,M01,주간,10.0391,0
157,M02,주간,10.2948,0
158,M03,주간,9.8502,0
159,M01,주간,9.6445,0
160,M03,오후,9.7105,0
161,M01,오후,9.7824,0
162,M03,오후,10.6385,0
163,M01,오후,9.7536,0
164,M01,오후,10.2515,0
165,M02,오후,9.7291,0
166,M02,오후,10.2795,0
167,M01,오후,10.1155,0
168,M02,오후,9.953,0
169,M01,오후,9.9878,0
170,M03,오후,9.8036,0
171,M01,오후,10.1338,0
172,M02,오후,9.8635,0
173,M03,오후,9.6323,0
174,M01,오후,9.6166,0
175,M01,오후,10.0518,0
176,M03,오후,10.4737,0
177,M01,오후,10.048,0
178,M03,오후,9.9644,0
179,M02,오후,10.0857,0
180,M03,오후,10.3918,0
181,M01,오후,10.0658,0
182,M01,오후,9.8767,0
183,M03,오후,10.3319,0
184,M03,오후,10.1286,0
185,M03,오후,10.4607,0
186,M01,오후,10.055,0
187,M02,오후,9.6327,0
188,M02,오후,9.5896,0
189,M02,오후,10.4953,0
190,M01,오후,10.5171,0
191,M02,오후,9.9461,0
192,M02,오후,9.885,0
193,M01,오후,10.4384,0
194,M02,오후,9.6679,0
195,M01,오후,9.7316,0
196,M01,오후,10.193,0
197,M01,오후,9.8816,0
198,M02,오후,9.9985,0
199,M01,오후,9.951,0
200,M02,오후,10.1013,0
201,M02,오후,10.4222,0
202,M03,오후,10.0272,0
203,M01,오후,10.1932,0
204,M02,오후,9.3849,0
205,M01,오후,9.9854,0
206,M02,오후,9.747,0
207,M02,오후,9.6344,0
208,M03,오후,9.7366,0
209,M02,오후,9.8998,0
210,M03,오후,10.2748,0
211,M01,오후,9.6021,0
212,M01,오후,10.0092,0
213,M01,오후,9.8547,0
214,M02,오후,9.9017,0
215,M01,오후,10.3008,0
216,M01,오후,10.1614,0
217,M01,오후,10.4012,0
218,M03,오후,9.9536,0
219,M03,오후,9.7912,0
220,M01,오후,9.9328,0
221,M03,오후,10.0727,0
222,M01,오후,10.053,0
223,M02,오후,9.6747,0
224,M01,오후,10.0271,0
225,M02,오후,10.0685,0
226,M03,오후,10.7552,0
227,M03,오후,10.5631,0
228,M02,오후,9.744,0
229,M02,오후,9.9138,0
230,M03,오후,9.561,0
231,M01,오후,9.8228,0
232,M02,오후,10.0947,0
233,M01,오후,10.3618,0
234,M03,오후,9.7813,0
235,M02,오후,9.8038,0
236,M02,오후,9.3558,0
237,M02,오후,9.9512,0
238,M01,오후,9.6813,0
239,M01,오후,9.8412,0
240,M03,오후,9.7369,0
241,M01,오후,9.9717,0
242,M01,오후,9.4727,0
243,M01,오후,9.5599,0
244,M03,오후,10.6388,0
245,M01,오후,9.6138,0
246,M03,오후,9.671,0
247,M02,오후,10.5511,0
248,M03,오후,10.8715,0
249,M02,오후,9.6485,0
250,M01,오후,9.8895,0
251,M02,오후,10.1025,0
252,M02,오후,10.5186,0
253,M01,오후,9.7039,0
254,M02,오후,9.9264,0
255,M01,오후,10.2332,0
256,M03,오후,10.1304,0
257,M03,오후,9.8872,0
258,M01,오후,9.9599,0
259,M02,오후,9.5875,0
260,M02,오후,9.9285,0
261,M01,오후,9.9201,0
262,M02,오후,10.0697,0
263,M01,오후,9.8334,0
264,M01,오후,10.1415,0
265,M03,오후,10.3038,0
266,M02,오후,10.0466,0
267,M03,오후,10.1055,0
268,M02,오후,10.0159,0
269,M03,오후,10.0,0
270,M03,오후,9.7835,0
271,M02,오후,10.0949,0
272,M02,오후,9.9708,0
273,M02,오후,10.628,0
274,M03,오후,10.472,0
275,M02,오후,10.1158,0
276,M02,오후,9.7711,0
277,M01,오후,9.6663,0
278,M03,오후,10.3573,0
279,M02,오후,10.0788,0
280,M01,오후,10.144,0
281,M02,오후,9.4766,0
282,M02,오후,10.2782,0
283,M01,오후,10.1363,0
284,M03,오후,9.6669,0
285,M03,오후,9.8585,0
286,M03,오후,10.0791,0
287,M02,오후,10.0157,0
288,M01,오후,9.9123,0
289,M01,오후,9.969,0
290,M03,오후,9.9244,0
291,M01,오후,10.0458,0
292,M03,오후,10.4414,0
293,M03,오후,9.23,0
294,M01,오후,9.9289,0
295,M03,오후,10.053,0
296,M01,오후,10.0888,0
297,M02,오후,9.8884,0
298,M02,오후,9.473,0
299,M03,오후,10.0984,0
300,M02,오후,10.5182,0
301,M03,오후,9.5398,0
302,M02,오후,10.2591,0
303,M03,오후,9.9014,0
304,M03,오후,9.9816,0
305,M03,오후,9.6841,0
306,M02,오후,9.8997,0
307,M02,오후,10.39,0
308,M03,오후,10.1748,0
309,M03,오후,10.5197,0
310,M03,오후,10.3532,0
311,M02,오후,10.1317,0
