customer_id,age,gender,region,membership,signup_year
C00001,19,M,대전,Silver,2016
C00002,55,F,대구,Silver,2020
C00003,34,F,부산,Bronze,2021
C00004,52,F,경기,Silver,2015
C00005,51,F,부산,Bronze,2017
C00006,40,F,광주,Silver,2018
C00007,47,F,경기,Bronze,2017
C00008,69,F,서울,Silver,2018
C00009,25,F,경기,Gold,2021
C00010,39,M,대전,Gold,2017
C00011,61,M,대구,Bronze,2020
C00012,53,M,서울,VIP,2016
C00013,22,M,서울,Silver,2023
C00014,30,M,부산,Bronze,2015
C00015,46,M,부산,Silver,2021
C00016,48,M,서울,Bronze,2019
C00017,64,M,대전,Bronze,2020
C00018,33,F,부산,Bronze,2022
C00019,59,M,부산,Bronze,2021
C00020,47,M,광주,Bronze,2020
C00021,33,F,경기,Gold,2022
C00022,29,F,부산,Bronze,2015
C00023,34,M,부산,Bronze,2020
C00024,33,M,대전,Bronze,2017
C00025,29,M,서울,VIP,2021
C00026,25,F,대구,Silver,2015
C00027,37,M,부산,Silver,2018
C00028,20,F,광주,Bronze,2021
C00029,33,M,광주,Bronze,2017
C00030,47,F,서울,Silver,2022
C00031,62,F,서울,Gold,2018
C00032,40,F,서울,Bronze,2019
C00033,45,M,경기,Silver,2015
C00034,68,M,광주,Silver,2016
C00035,57,F,서울,VIP,2023
C00036,22,F,경기,Bronze,2017
C00037,37,F,광주,Gold,2015
C00038,57,M,대전,Bronze,2017
C00039,61,F,부산,Silver,2018
C00040,18,M,광주,Bronze,2019
C00041,47,M,경기,Silver,2021
C00042,38,F,서울,Bronze,2018
C00043,37,F,서울,Bronze,2023
C00044,23,M,경기,Silver,2016
C00045,39,M,경기,Silver,2022
C00046,35,M,경기,Bronze,2023
C00047,25,F,서울,Gold,2018
C00048,56,M,서울,Silver,2015
C00049,49,M,서울,Bronze,2016
C00050,50,F,대전,Silver,2017
C00051,70,M,대전,Bronze,2018
C00052,33,F,서울,Silver,2019
C00053,29,F,서울,Silver,2020
C00054,55,F,광주,Silver,2021
C00055,69,F,서울,Silver,2023
C00056,51,F,대전,Gold,2019
C00057,31,F,경기,Bronze,2015
C00058,53,F,경기,Bronze,2021
C00059,50,F,대구,Bronze,2016
C00060,40,F,서울,Bronze,2016
C00061,67,M,서울,VIP,2018
C00062,62,F,대구,Bronze,2020
C00063,19,M,대전,Silver,2016
C00064,58,M,부산,VIP,2021
C00065,38,F,광주,Silver,2022
C00066,19,F,대전,Bronze,2017
C00067,44,F,서울,Gold,2017
C00068,26,M,경기,Silver,2016
C00069,18,F,서울,VIP,2018
C00070,28,M,서울,Silver,2019
C00071,20,M,대구,VIP,2020
C00072,69,M,서울,Gold,2015
C00073,40,F,서울,Bronze,2017
C00074,43,F,경기,Silver,2020
C00075,21,M,서울,Bronze,2023
C00076,35,M,서울,Bronze,2017
C00077,23,M,서울,Silver,2017
C00078,52,M,광주,Bronze,2023
C00079,39,F,대구,Silver,2022
C00080,60,F,광주,Bronze,2020
C00081,32,M,광주,Gold,2023
C00082,39,M,대전,Silver,2017
C00083,54,M,서울,Gold,2020
C00084,69,F,광주,Bronze,2015
C00085,59,F,경기,Silver,2018
C00086,29,M,서울,Gold,2020
C00087,64,F,부산,Bronze,2017
C00088,66,F,경기,Silver,2020
C00089,59,M,서울,Bronze,2016
C00090,55,F,서울,Gold,2018
C00091,35,F,경기,Silver,2022
C00092,62,F,광주,Silver,2015
C00093,52,F,경기,Bronze,2020
C00094,47,F,대구,Gold,2019
C00095,41,F,서울,Bronze,2015
C00096,59,M,경기,Bronze,2015
C00097,47,M,서울,Bronze,2019
C00098,31,M,광주,Gold,2021
C00099,23,F,대전,Bronze,2021
C00100,20,F,경기,Bronze,2015
C00101,33,F,대전,Bronze,2016
C00102,24,M,대구,Bronze,2016
C00103,69,M,서울,Bronze,2023
C00104,31,F,경기,VIP,2017
C00105,26,F,광주,Bronze,2023
C00106,32,F,경기,Gold,2023
C00107,38,F,경기,Bronze,2020
C00108,52,F,경기,Bronze,2023
C00109,19,M,경기,Gold,2018
C00110,44,M,서울,Bronze,2016
C00111,19,F,부산,Bronze,2021
C00112,52,M,대구,Bronze,2018
C00113,35,F,대구,Bronze,2019
C00114,31,M,부산,Bronze,2016
C00115,37,F,경기,Bronze,2018
C00116,35,F,서울,Bronze,2017
C00117,27,F,광주,Gold,2021
C00118,42,F,경기,Silver,2016
C00119,19,M,부산,Bronze,2018
C00120,42,F,서울,Silver,2023
C00121,50,F,서울,Bronze,2019
C00122,53,F,서울,Silver,2020
C00123,48,F,대구,Gold,2023
C00124,31,M,부산,Silver,2022
C00125,18,M,부산,Bronze,2018
C00126,63,M,광주,Silver,2020
C00127,33,F,서울,Silver,2016
C00128,63,M,서울,Bronze,2021
C00129,69,F,서울,Bronze,2017
C00130,20,M,경기,Bronze,2021
C00131,52,M,광주,VIP,2019
C00132,58,F,광주,Gold,2023
C00133,23,M,부산,Gold,2016
C00134,42,F,부산,Bronze,2015
C00135,30,M,광주,Silver,2018
C00136,70,F,부산,Bronze,2023
C00137,51,F,서울,Gold,2015
C00138,25,F,대구,Bronze,2015
C00139,38,F,대구,Silver,2016
C00140,51,M,부산,Silver,2019
C00141,21,F,서울,Bronze,2018
C00142,42,M,경기,Bronze,2022
C00143,32,F,경기,Bronze,2017
C00144,21,F,서울,Bronze,2016
C00145,62,F,경기,Bronze,2021
C00146,29,F,서울,Bronze,2022
C00147,49,M,경기,Silver,2021
C00148,49,M,서울,Bronze,2016
C00149,45,F,대전,Bronze,2021
C00150,30,M,서울,Gold,2023
C00151,48,M,경기,Bronze,2019
C00152,31,F,서울,Bronze,2021
C00153,37,M,서울,Bronze,2020
C00154,35,F,부산,Silver,2022
C00155,46,F,서울,Silver,2023
C00156,23,M,부산,Gold,2021
C00157,49,M,서울,Bronze,2021
C00158,46,F,경기,Silver,2018
C00159,60,F,대구,Bronze,2021
C00160,19,F,대전,Bronze,2015
C00161,40,M,경기,Gold,2017
C00162,36,F,광주,Bronze,2019
C00163,48,F,대구,Bronze,2017
C00164,68,F,서울,Gold,2016
C00165,22,F,광주,Gold,2019
C00166,36,F,부산,Bronze,2021
C00167,51,M,서울,Bronze,2018
C00168,27,M,대전,Bronze,2022
C00169,42,M,서울,Silver,2019
C00170,19,M,경기,Gold,2020
C00171,28,M,경기,Gold,2021
C00172,67,F,부산,Gold,2015
C00173,48,M,부산,Gold,2018
C00174,32,F,서울,Gold,2021
C00175,26,M,경기,Gold,2015
C00176,40,M,서울,Gold,2019
C00177,36,F,서울,Bronze,2021
C00178,26,M,광주,Bronze,2022
C00179,52,M,대구,Bronze,2019
C00180,38,F,경기,Bronze,2017
C00181,26,M,서울,Bronze,2017
C00182,45,M,경기,Gold,2015
C00183,63,M,서울,VIP,2022
C00184,68,F,대구,Bronze,2018
C00185,24,M,서울,Silver,2022
C00186,33,M,경기,VIP,2020
C00187,33,F,부산,Bronze,2023
C00188,50,M,대전,Gold,2019
C00189,21,F,서울,Bronze,2023
C00190,21,F,서울,Bronze,2023
C00191,56,F,대전,Gold,2018
C00192,57,F,경기,Bronze,2022
C00193,34,M,대구,Bronze,2016
C00194,54,M,대구,Silver,2016
C00195,56,F,경기,Gold,2015
C00196,69,M,서울,Silver,2016
C00197,46,M,서울,Gold,2017
C00198,69,M,대구,Bronze,2020
C00199,53,F,광주,Bronze,2018
C00200,55,M,부산,Bronze,2020
C00201,56,F,경기,VIP,2016
C00202,67,F,서울,Bronze,2021
C00203,54,M,경기,Gold,2020
C00204,69,M,광주,Bronze,2016
C00205,52,F,광주,Bronze,2021
C00206,24,F,경기,Bronze,2018
C00207,44,F,경기,Bronze,2022
C00208,45,M,대구,VIP,2017
C00209,39,F,경기,Silver,2016
C00210,31,M,부산,Bronze,2019
C00211,24,M,경기,Silver,2023
C00212,54,M,서울,Silver,2022
C00213,39,M,서울,Silver,2016
C00214,22,F,서울,Gold,2021
C00215,19,F,서울,Bronze,2015
C00216,44,F,서울,Bronze,2018
C00217,38,F,서울,Silver,2018
C00218,55,F,서울,Silver,2017
C00219,32,F,서울,Gold,2015
C00220,38,F,경기,Bronze,2022
C00221,27,M,경기,Bronze,2015
C00222,40,F,대전,Gold,2020
C00223,56,M,경기,Bronze,2021
C00224,22,M,서울,Silver,2019
C00225,18,F,경기,Bronze,2018
C00226,30,F,대구,Gold,2020
C00227,38,F,경기,VIP,2023
C00228,43,F,서울,VIP,2022
C00229,67,M,광주,Silver,2018
C00230,62,M,서울,Bronze,2018
C00231,38,M,대전,Bronze,2022
C00232,70,M,광주,Bronze,2016
C00233,35,F,부산,Silver,2022
C00234,54,M,부산,Bronze,2018
C00235,62,M,서울,Bronze,2023
C00236,49,F,대구,Bronze,2018
C00237,53,F,경기,Silver,2019
C00238,34,F,경기,Gold,2022
C00239,52,M,서울,Bronze,2023
C00240,66,F,서울,Gold,2015
C00241,28,F,경기,Bronze,2020
C00242,38,M,경기,Bronze,2015
C00243,69,F,경기,VIP,2018
C00244,70,M,경기,Bronze,2016
C00245,43,F,대구,Bronze,2017
C00246,21,F,경기,Gold,2017
C00247,51,F,경기,Bronze,2023
C00248,69,F,대구,Gold,2015
C00249,65,M,광주,Bronze,2023
C00250,35,M,경기,Bronze,2016
C00251,57,M,대전,Bronze,2017
C00252,52,F,경기,Bronze,2016
C00253,58,M,서울,Bronze,2020
C00254,46,M,부산,Bronze,2018
C00255,69,F,서울,Silver,2020
C00256,46,M,광주,Silver,2018
C00257,55,M,경기,Bronze,2023
C00258,59,M,부산,Bronze,2016
C00259,38,F,부산,Bronze,2017
C00260,59,M,서울,Bronze,2015
C00261,30,F,대구,Bronze,2021
C00262,66,F,대구,Bronze,2018
C00263,58,M,대전,Silver,2018
C00264,34,M,경기,Bronze,2020
C00265,26,M,경기,Gold,2022
C00266,58,F,광주,Bronze,2023
C00267,18,M,서울,Silver,2016
C00268,19,F,서울,Bronze,2022
C00269,65,M,서울,Silver,2023
C00270,46,F,대전,Bronze,2021
C00271,50,M,서울,Bronze,2020
C00272,27,F,대구,Silver,2020
C00273,67,F,경기,Bronze,2020
C00274,57,F,서울,Bronze,2023
C00275,38,M,광주,Gold,2018
C00276,45,F,경기,Bronze,2020
C00277,28,F,부산,Bronze,2022
C00278,51,F,서울,Silver,2016
C00279,25,M,경기,VIP,2021
C00280,39,F,대구,Bronze,2015
C00281,25,F,경기,Gold,2016
C00282,66,M,경기,Bronze,2015
C00283,32,F,서울,Bronze,2022
C00284,34,M,광주,Bronze,2019
C00285,40,M,대구,Bronze,2021
C00286,41,M,대구,Bronze,2016
C00287,62,M,서울,Bronze,2020
C00288,36,F,경기,Bronze,2016
C00289,22,M,서울,Gold,2022
C00290,49,F,경기,Bronze,2015
C00291,61,M,경기,Gold,2017
C00292,18,F,광주,Bronze,2023
C00293,40,F,대전,Bronze,2023
C00294,54,F,부산,Bronze,2020
C00295,25,F,경기,Silver,2021
C00296,30,F,경기,Bronze,2020
C00297,25,M,서울,Silver,2016
C00298,40,F,대구,Silver,2017
C00299,60,F,부산,Bronze,2015
C00300,18,F,부산,Bronze,2020
C00301,62,M,대구,Gold,2017
C00302,68,M,대전,Bronze,2016
C00303,41,M,경기,Bronze,2015
