line,temperature,pressure,power_consumption,yield_rate,defect_count,thickness,cycle_time
B,322.9,2.24,302.0,83.37,68,297.6,85.0
D,376.7,2.26,365.0,82.62,36,321.7,42.2
C,353.0,2.92,1221.1,70.44,47,305.5,31.1
B,381.4,3.08,465.6,73.02,36,309.6,31.2
A,396.4,2.56,1180.6,95.86,33,320.2,81.3
A,346.3,3.01,545.7,82.96,50,328.6,36.0
A,376.3,2.19,494.0,87.62,36,318.9,43.6
D,381.0,2.71,1831.0,95.11,36,310.5,32.1
C,354.8,2.4,141.7,87.9,47,300.1,44.4
C,408.7,2.51,391.7,93.62,29,301.8,50.6
A,381.4,2.4,161.5,69.19,39,310.2,92.7
D,332.4,2.41,810.3,80.24,65,292.0,50.1
D,357.8,1.45,545.6,88.72,50,312.3,39.5
A,375.8,1.98,334.0,64.51,40,293.4,39.3
A,407.6,1.8,350.7,94.12,32,330.5,36.3
A,368.6,2.31,176.5,73.43,39,329.0,38.8
B,358.7,2.07,253.6,84.86,43,302.7,36.2
B,387.9,1.81,829.7,77.69,37,328.1,48.8
B,343.4,2.09,965.3,96.08,59,297.1,30.5
A,320.3,2.41,1020.6,78.97,62,296.3,33.0
C,371.1,3.69,128.5,71.67,42,310.5,49.7
A,338.7,2.44,204.3,94.25,53,310.4,49.1
A,431.5,2.35,374.3,79.48,27,313.3,32.3
B,357.6,1.94,394.7,87.79,46,306.2,44.1
B,371.3,2.06,257.3,94.23,40,313.1,85.7
C,331.2,2.85,2098.2,96.62,62,313.9,38.4
A,387.9,3.07,1395.1,85.14,38,327.6,56.0
B,349.2,2.13,146.0,86.84,53,312.2,62.1
B,346.3,2.57,713.7,83.43,49,305.2,31.5
A,347.0,3.52,220.1,94.21,54,287.2,108.2
C,311.3,3.26,1833.6,82.27,86,293.1,49.3
A,342.5,2.6,671.4,92.46,59,308.9,33.8
A,366.4,2.12,137.0,85.81,45,308.8,32.5
D,303.6,2.1,120.4,55.98,126,272.3,51.9
D,380.7,1.64,293.1,96.64,33,308.7,54.4
D,341.9,2.49,504.1,69.15,53,303.1,36.2
B,357.3,3.2,498.2,88.47,46,305.3,32.6
A,283.0,2.22,479.7,79.34,139,288.4,42.2
C,356.7,2.39,806.9,93.85,45,311.7,33.8
B,318.7,2.47,906.5,96.38,72,299.9,37.0
A,339.5,2.51,218.4,80.94,57,287.4,51.5
B,303.0,2.14,125.7,69.49,82,300.3,49.1
A,323.5,2.44,139.1,75.69,69,304.1,54.1
D,345.1,2.62,1031.2,83.33,57,310.5,58.6
A,341.8,2.69,502.7,88.03,51,304.7,42.3
C,376.5,2.64,337.1,81.99,34,310.4,75.2
B,294.0,2.18,757.1,72.41,102,283.6,36.2
B,348.5,2.47,1081.8,90.61,51,315.2,37.7
B,347.0,2.63,664.0,81.66,49,310.0,31.8
A,336.3,2.92,125.6,85.39,58,306.5,42.1
D,322.6,2.71,1288.4,69.3,71,298.2,35.3
C,383.1,2.08,391.0,91.45,38,323.7,44.1
D,411.4,2.53,399.0,85.83,32,321.4,42.9
D,298.6,2.66,1186.1,87.81,102,308.0,72.6
B,322.3,2.69,962.0,84.58,76,301.1,36.3
D,319.9,2.74,1027.8,93.83,70,288.0,30.3
A,341.6,2.72,125.0,85.95,57,301.7,77.9
A,387.7,1.87,441.1,70.05,38,317.0,58.8
A,365.8,2.1,1064.4,83.98,40,307.9,47.8
B,345.4,2.97,825.9,72.55,54,302.2,47.0
B,350.5,2.11,2247.2,87.13,50,305.8,31.0
A,340.4,2.62,394.5,85.39,48,307.0,38.6
D,372.2,2.25,961.6,93.95,38,319.2,65.2
B,375.8,2.9,1357.4,86.84,39,322.9,34.7
A,367.7,2.93,318.2,80.13,38,310.1,67.6
B,284.1,2.13,121.4,87.19,164,300.4,51.3
A,350.4,2.78,170.1,82.09,52,317.2,35.9
D,344.4,2.85,439.1,89.03,53,306.4,67.1
A,379.7,2.73,748.4,91.54,41,308.3,52.8
D,357.2,2.41,376.2,81.93,43,310.8,33.5
C,366.7,1.81,468.4,74.83,40,322.9,31.5
A,335.1,2.97,1180.7,89.3,58,315.9,48.0
A,378.2,2.25,238.1,66.0,37,310.0,64.4
D,387.0,2.41,1621.3,85.5,36,304.3,55.1
C,301.2,2.69,160.8,77.37,81,278.5,38.8
C,311.1,2.1,443.4,81.67,80,292.4,40.6
C,372.9,2.05,412.2,96.6,38,320.5,30.6
A,344.8,2.16,434.6,82.45,50,307.8,57.8
B,380.9,2.13,661.2,85.36,42,319.3,34.0
A,357.3,2.06,276.5,88.42,52,311.3,61.5
D,370.8,2.5,401.0,97.16,38,316.1,36.4
C,327.6,2.58,301.7,88.37,63,297.4,34.5
B,360.2,2.22,1558.0,61.63,45,308.7,62.1
A,360.3,2.52,280.0,71.41,46,311.0,32.4
B,329.3,1.4,246.2,82.4,59,307.4,42.6
B,380.1,2.62,200.7,84.52,38,305.3,102.4
C,293.1,2.53,362.3,84.83,108,288.5,52.0
C,356.2,2.94,257.3,89.04,43,286.6,58.5
D,311.2,2.65,405.0,95.95,83,308.2,40.5
B,319.3,2.72,200.1,95.71,73,297.0,87.5
A,379.6,2.22,1965.5,89.68,37,311.9,37.8
C,317.0,1.8,593.4,94.18,76,299.4,32.6
C,315.7,2.49,631.1,87.35,71,309.4,31.6
B,367.4,1.88,642.7,95.28,39,314.7,36.7
C,316.7,2.52,260.4,76.44,71,309.8,42.0
B,380.5,2.69,883.5,94.46,42,321.9,34.4
B,369.3,2.46,251.2,84.82,43,301.0,34.8
B,326.7,2.11,225.3,89.44,63,296.8,63.9
A,379.4,3.19,117.7,68.19,41,300.7,66.9
A,291.8,2.38,172.1,69.7,123,288.1,40.0
A,364.2,2.9,452.1,80.65,45,304.9,36.4
C,312.6,3.12,543.0,88.35,87,300.1,95.3
B,334.3,3.02,662.4,89.23,63,288.1,51.0
B,336.2,2.77,1015.2,86.23,56,307.5,37.5
D,388.4,3.2,1037.3,89.32,36,327.1,101.0
A,335.0,2.64,348.1,80.13,62,296.4,137.5
B,347.6,2.9,278.9,90.56,53,308.6,39.9
C,336.9,2.58,240.9,69.92,59,303.5,65.9
A,320.5,2.16,163.2,84.85,72,309.7,73.6
A,319.1,2.57,189.9,76.49,66,298.8,97.2
A,359.3,1.93,790.2,88.37,40,299.9,44.0
A,349.2,2.54,266.4,87.69,47,304.7,50.1
D,372.9,2.35,394.2,84.96,38,312.0,63.6
D,342.7,2.85,1023.9,95.91,56,314.8,62.6
C,343.7,3.04,324.1,80.81,54,303.2,34.5
D,373.0,2.07,373.0,76.61,35,298.4,55.4
D,338.8,2.66,259.5,92.4,52,285.3,40.4
A,306.8,2.67,263.7,77.9,104,287.1,35.6
D,375.4,3.03,1196.2,78.87,43,323.5,53.0
B,329.7,2.86,368.9,86.05,60,293.7,76.3
D,352.0,2.95,194.3,92.58,44,325.4,80.7
D,331.2,2.66,396.6,90.98,64,310.2,65.2
B,320.8,2.02,1272.1,88.38,75,295.4,55.4
A,293.0,2.21,147.4,67.43,120,289.8,38.6
A,360.2,2.67,156.1,88.15,46,303.9,59.3
B,248.2,2.0,135.9,74.88,200,280.2,30.8
D,389.0,2.3,548.8,90.21,35,319.2,38.9
D,381.0,2.36,204.4,78.57,39,303.9,36.3
A,322.7,2.46,1277.3,83.1,62,301.8,38.4
B,397.6,2.66,1984.4,93.03,34,313.1,65.9
B,411.8,2.63,1156.4,83.05,33,321.0,42.7
A,341.8,2.74,611.5,68.8,54,298.0,101.3
A,362.3,2.13,189.6,75.06,43,307.5,47.9
B,354.1,2.34,197.2,74.61,51,301.1,75.4
D,395.4,2.68,607.3,73.26,32,321.3,58.5
B,308.2,2.04,526.2,77.26,86,286.1,51.2
B,343.2,2.8,476.4,85.13,62,298.9,38.2
C,377.6,2.54,1212.5,94.11,38,303.2,71.0
B,374.4,1.98,515.4,95.25,41,323.5,31.0
D,348.7,2.84,246.5,63.42,45,311.9,78.0
D,391.8,2.59,177.2,88.35,35,314.4,76.1
A,357.0,3.22,520.0,83.11,49,311.5,42.8
B,353.4,2.96,107.9,79.5,50,317.1,64.8
B,370.9,1.85,1188.7,62.08,40,313.7,39.9
A,348.2,2.39,104.3,87.55,51,302.9,32.9
A,351.5,2.56,274.0,67.62,49,315.6,35.2
C,326.4,2.61,1047.8,86.78,68,298.8,108.2
