Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joel Embiid\embiijo01,C,29,PHI,39,39,33.7,11.3,22.6,0.5,0.3,0.8,0.375,11.0,21.8,0.505,0.507,11.7,13.4,0.873,1.0,10.0,11.0,5.6,1.2,1.7,3.5,2.9,34.7
2,Luka Doncic\doncilu01,PG,24,DAL,70,70,37.5,12.0,25.0,0.48,3.6,10.1,0.356,8.4,14.9,0.564,0.552,6.3,8.0,0.787,1.0,8.8,9.8,9.8,1.4,0.5,4.0,2.5,33.9
3,Giannis Antetokounmpo\antetgi01,PF,29,MIL,73,73,35.2,11.8,20.1,0.587,0.9,2.7,0.333,10.9,17.4,0.626,0.609,6.8,9.8,0.694,2.2,9.3,11.5,6.5,1.2,1.1,3.4,3.2,30.4
4,Shai Gilgeous-Alexander\gilgesh01,PG,25,OKC,75,75,34.2,10.8,21.4,0.505,1.6,4.3,0.372,9.2,17.1,0.538,0.542,7.0,8.2,0.854,0.9,4.6,5.5,6.2,2.0,0.9,2.5,2.2,30.1
5,Kevin Durant\duranke01,SF,35,PHO,75,75,37.2,10.7,20.4,0.525,1.7,4.6,0.37,9.0,15.8,0.57,0.566,4.0,4.8,0.833,0.6,5.9,6.5,5.0,0.9,1.2,3.3,2.5,27.1
6,Devin Booker\bookede01,SG,27,PHO,68,68,36.0,10.0,21.4,0.467,2.7,6.9,0.391,7.3,14.5,0.503,0.53,4.3,5.0,0.86,0.5,4.0,4.5,6.9,1.0,0.4,3.6,2.3,27.1
7,Jayson Tatum\tatumja01,SF,25,BOS,74,74,35.7,9.7,20.7,0.469,3.2,8.3,0.386,6.5,12.4,0.524,0.546,4.3,5.2,0.827,1.2,6.9,8.1,4.9,1.1,0.6,2.7,2.0,26.9
8,Donovan Mitchell\mitchdo01,SG,27,CLE,55,55,35.4,9.5,21.0,0.452,2.7,7.1,0.38,6.8,13.9,0.489,0.517,5.0,6.0,0.833,0.6,3.9,4.5,6.1,1.7,0.3,3.2,2.3,26.6
9,Stephen Curry\curryst01,PG,35,GSW,74,74,32.7,8.8,19.5,0.451,5.0,12.1,0.413,3.8,7.4,0.514,0.579,3.8,4.3,0.884,0.4,3.7,4.1,5.1,0.7,0.3,2.8,1.8,26.4
10,Tyrese Haliburton\halibty01,PG,23,IND,69,69,33.0,8.9,19.2,0.464,3.5,8.9,0.393,5.4,10.3,0.524,0.555,4.0,4.7,0.851,0.7,3.3,4.0,10.9,1.4,0.6,2.6,1.8,20.1
11,Anthony Edwards\edwaran01,SG,22,MIN,79,79,35.4,9.9,21.7,0.456,3.3,8.4,0.393,6.6,13.3,0.496,0.532,2.9,3.6,0.806,0.7,4.7,5.4,5.1,1.3,0.5,3.1,2.3,25.9
12,Damian Lillard\lillada01,PG,33,MIL,73,73,35.4,8.8,20.1,0.438,4.4,11.1,0.396,4.4,9.0,0.489,0.547,3.3,3.9,0.846,0.4,3.9,4.3,7.0,0.9,0.3,2.8,2.0,24.3
13,Trae Young\youngtr01,PG,25,ATL,56,56,34.4,8.1,18.7,0.433,1.9,5.6,0.339,6.2,13.1,0.473,0.484,6.4,7.1,0.901,0.3,2.9,3.2,10.8,1.0,0.2,4.3,1.8,25.7
14,Darius Garland\garladar01,PG,24,CLE,50,50,32.0,8.0,17.1,0.468,2.2,5.8,0.379,5.8,11.3,0.513,0.532,4.2,4.9,0.857,0.4,2.8,3.2,6.9,1.3,0.2,2.9,1.8,22.4
15,Karl-Anthony Towns\townska01,C,28,MIN,61,61,33.5,9.0,18.8,0.479,2.3,6.1,0.377,6.7,12.7,0.528,0.54,4.3,5.2,0.827,2.2,6.7,8.9,3.0,1.1,0.6,2.6,2.7,21.4
16,Bam Adebayo\adebabam01,C,26,MIA,71,71,33.8,8.3,15.7,0.529,0.1,0.3,0.333,8.2,15.4,0.532,0.532,5.1,6.5,0.785,2.4,7.6,10.0,3.9,1.3,0.9,2.5,2.3,19.3
17,Nikola Jokic\jokicni01,C,28,DEN,79,79,34.6,9.9,17.8,0.556,0.8,2.1,0.381,9.1,15.7,0.58,0.579,5.4,6.5,0.831,2.5,10.2,12.7,9.0,1.4,0.9,3.0,2.8,26.4
