cell_id,assembly_datetime,cell_type,factory,line,shift,capacity_mAh,internal_resistance_mOhm,production_temp_C,efficiency_pct,cycle_count,electrolyte_vol_mL,electrode_thickness_um,defect
CELL-000001,2024-08-27 17:26:29,LFP,Factory_C,L2,Morning,3743.1,9.086,23.93,97.463,500,9.267,95.74,Normal
CELL-000002,2024-07-29 02:57:18,LFP,Factory_B,L3,Afternoon,3768.5,8.279,24.49,98.616,156,8.732,90.52,Normal
CELL-000003,2024-09-04 15:01:02,NCM,Factory_B,L3,Morning,3710.1,12.148,32.43,96.11,26,8.575,95.55,Normal
CELL-000004,2023-02-23 18:43:00,NCM,Factory_A,L3,Morning,4036.8,11.205,18.9,97.715,299,8.364,93.24,Normal
CELL-000005,2024-12-27 22:35:28,NCM,Factory_B,L4,Morning,3819.8,10.541,28.35,98.213,11,7.566,95.43,Normal
CELL-000006,2024-10-05 09:31:43,NCM,Factory_C,L1,Morning,3189.0,37.761,28.99,90.776,59,8.357,92.23,Defective
CELL-000007,2023-03-21 12:58:41,LFP,Factory_C,L1,Night,3775.4,10.459,21.97,96.929,106,8.739,101.29,Normal
CELL-000008,2024-01-30 05:24:09,LFP,Factory_C,L2,Morning,3045.7,51.324,20.91,92.245,119,8.834,100.07,Defective
CELL-000009,2023-06-09 04:38:34,LFP,Factory_A,L3,Morning,3829.9,12.196,30.36,98.231,111,9.061,103.84,Normal
CELL-000010,2023-12-05 12:44:35,NCM,Factory_B,L3,Afternoon,3586.8,25.872,25.41,93.93,239,7.502,97.62,Defective
CELL-000011,2023-09-08 18:45:55,NCM,Factory_A,L1,Night,3799.2,13.977,21.58,96.409,158,9.245,92.91,Normal
CELL-000012,2024-10-05 09:43:40,LFP,Factory_A,L4,Night,3797.9,11.15,30.67,98.408,61,8.18,95.15,Normal
CELL-000013,2023-04-09 05:52:43,LFP,Factory_A,L2,Afternoon,3634.9,44.526,29.75,92.137,255,7.839,97.99,Defective
CELL-000014,2024-03-18 18:12:11,NCA,Factory_A,L1,Night,3970.6,11.39,22.58,96.978,204,8.567,93.33,Normal
CELL-000015,2023-09-17 16:52:09,LFP,Factory_A,L1,Morning,3918.0,9.585,21.19,96.5,26,8.884,97.17,Normal
CELL-000016,2023-11-30 07:45:19,LFP,Factory_C,L2,Morning,3776.3,10.389,21.11,96.848,51,9.774,91.88,Normal
CELL-000017,2024-09-23 23:39:45,NCM,Factory_C,L4,Afternoon,3794.2,8.81,29.56,97.068,72,8.918,96.34,Normal
CELL-000018,2023-10-10 17:35:36,NCM,Factory_B,L3,Morning,3211.4,34.764,21.35,90.958,38,8.174,95.83,Defective
CELL-000019,2024-12-09 04:45:52,LFP,Factory_A,L1,Night,3833.4,7.913,32.6,96.851,375,7.449,93.26,Normal
CELL-000020,2024-08-27 15:08:48,LFP,Factory_A,L4,Morning,3364.4,20.809,31.18,90.273,220,8.513,98.54,Defective
CELL-000021,2024-10-03 10:11:28,NCM,Factory_C,L4,Night,3471.0,46.697,20.5,92.096,120,8.063,97.71,Defective
CELL-000022,2024-08-08 16:22:47,NCM,Factory_B,L3,Night,3839.5,11.119,22.17,97.279,10,7.737,104.75,Normal
CELL-000023,2024-12-27 13:16:59,NCA,Factory_C,L1,Afternoon,3778.5,8.34,27.56,97.759,69,7.972,94.35,Normal
CELL-000024,2023-07-09 21:58:40,NCM,Factory_C,L1,Night,3781.2,8.289,22.93,97.715,114,9.096,91.48,Normal
CELL-000025,2023-04-12 11:07:19,NCM,Factory_A,L3,Night,3866.0,14.219,26.37,96.126,183,9.191,99.47,Normal
CELL-000026,2024-07-24 09:21:02,LFP,Factory_B,L1,Morning,3868.5,10.583,18.85,97.96,104,8.759,95.47,Normal
CELL-000027,2024-09-06 02:02:10,LFP,Factory_A,L1,Morning,3678.8,6.684,22.83,96.564,39,7.407,94.73,Normal
CELL-000028,2024-10-11 04:23:59,LFP,Factory_B,L3,Night,3828.1,8.779,20.93,98.074,203,10.725,98.24,Normal
CELL-000029,2023-10-16 02:54:56,NCM,Factory_A,L4,Night,3699.2,11.976,24.59,97.218,316,8.07,90.81,Normal
CELL-000030,2023-02-24 14:06:24,NCM,Factory_A,L1,Morning,3816.0,7.937,23.0,97.394,16,8.568,97.11,Normal
CELL-000031,2024-09-24 03:31:32,NCM,Factory_C,L1,Morning,3835.0,12.184,19.66,95.944,79,7.656,98.01,Normal
CELL-000032,2024-10-30 19:13:05,LFP,Factory_C,L1,Afternoon,3762.5,9.116,28.66,97.189,83,9.222,94.9,Normal
CELL-000033,2024-11-28 02:40:43,NCM,Factory_A,L1,Morning,3720.1,10.984,20.86,97.569,78,7.511,96.94,Normal
CELL-000034,2023-08-08 13:54:11,NCM,Factory_A,L3,Afternoon,3838.6,8.675,27.83,98.04,21,8.475,91.39,Normal
CELL-000035,2023-06-21 17:30:49,NCA,Factory_C,L3,Night,3843.4,8.87,19.34,96.546,14,8.511,96.92,Normal
CELL-000036,2023-03-29 09:49:16,NCM,Factory_B,L3,Morning,3490.3,45.061,32.03,92.502,59,8.732,91.57,Defective
CELL-000037,2023-03-21 10:35:54,LFP,Factory_B,L1,Night,3791.1,11.723,32.69,97.308,290,8.813,94.21,Normal
CELL-000038,2024-01-19 04:52:50,LFP,Factory_B,L2,Afternoon,3705.2,11.03,20.5,97.015,27,7.823,93.93,Normal
CELL-000039,2024-07-17 15:35:05,NCM,Factory_B,L1,Morning,3838.1,14.319,23.38,98.104,44,7.593,96.16,Normal
CELL-000040,2024-04-27 00:38:02,NCM,Factory_A,L1,Night,3629.2,9.346,30.66,97.388,107,8.121,97.17,Normal
CELL-000041,2024-11-13 00:39:15,NCM,Factory_A,L3,Morning,3762.4,11.097,30.82,97.646,42,8.539,89.91,Normal
CELL-000042,2024-10-03 21:02:50,NCM,Factory_C,L1,Morning,3860.5,9.245,31.57,96.566,190,8.459,97.29,Normal
CELL-000043,2023-06-17 11:29:49,LFP,Factory_A,L1,Night,3838.8,11.031,20.27,99.083,81,7.969,99.59,Normal
CELL-000044,2023-08-26 01:54:32,NCA,Factory_C,L4,Morning,3961.4,11.005,20.41,96.413,60,8.601,95.31,Normal
CELL-000045,2023-06-14 04:04:48,NCA,Factory_B,L3,Morning,3776.1,9.977,24.31,96.712,47,8.986,88.51,Normal
CELL-000046,2024-07-23 12:28:11,NCM,Factory_A,L2,Night,3889.0,11.79,32.63,96.849,92,7.758,101.31,Normal
CELL-000047,2024-11-16 05:50:45,LFP,Factory_B,L1,Morning,3890.0,11.081,28.07,97.364,322,8.044,90.53,Normal
CELL-000048,2023-09-28 15:00:20,NCA,Factory_A,L2,Morning,3887.6,9.218,19.79,96.307,187,8.164,101.62,Normal
CELL-000049,2024-02-07 01:17:19,NCM,Factory_B,L3,Morning,3852.1,10.558,31.66,98.153,216,8.313,97.96,Normal
CELL-000050,2023-06-07 08:59:59,NCA,Factory_B,L4,Night,3428.6,25.405,20.92,93.219,2,8.379,99.28,Defective
CELL-000051,2024-12-22 04:13:08,NCM,Factory_A,L2,Morning,3863.2,11.073,22.06,96.557,18,8.846,96.68,Normal
CELL-000052,2024-12-30 22:35:24,LFP,Factory_B,L4,Night,3940.2,10.368,23.57,98.002,95,7.608,89.45,Normal
CELL-000053,2024-09-27 10:21:30,LFP,Factory_B,L1,Morning,3855.0,10.101,23.88,97.637,18,8.97,92.18,Normal
CELL-000054,2023-10-11 03:11:00,NCA,Factory_B,L3,Afternoon,3731.4,7.413,23.02,97.508,27,8.183,99.15,Normal
CELL-000055,2023-10-02 11:50:47,NCM,Factory_B,L1,Morning,3828.7,12.056,29.44,97.678,210,8.438,90.68,Normal
CELL-000056,2023-02-02 11:33:32,NCM,Factory_A,L3,Afternoon,3494.6,49.429,30.95,91.773,60,8.415,94.93,Defective
CELL-000057,2023-08-01 11:43:19,NCA,Factory_C,L1,Night,3743.4,13.02,22.26,96.506,27,8.211,104.49,Normal
CELL-000058,2024-07-24 03:31:20,NCA,Factory_B,L3,Night,3724.5,8.969,23.57,96.827,194,8.281,97.55,Normal
CELL-000059,2024-09-13 19:40:36,NCM,Factory_A,L4,Morning,3862.5,10.784,21.55,95.805,97,8.731,97.03,Normal
CELL-000060,2023-10-05 09:35:51,NCA,Factory_C,L2,Night,3889.3,12.71,22.29,97.476,70,10.091,93.7,Normal
CELL-000061,2023-11-06 06:11:09,NCM,Factory_B,L4,Afternoon,3961.5,11.706,28.75,97.394,96,8.04,93.12,Normal
CELL-000062,2023-08-20 15:41:01,NCM,Factory_B,L2,Morning,3868.0,9.905,25.81,97.421,125,9.1,94.12,Normal
CELL-000063,2023-06-05 20:17:13,NCA,Factory_C,L3,Morning,3762.7,11.171,19.83,98.784,126,9.501,96.89,Normal
CELL-000064,2023-09-28 04:26:22,NCA,Factory_B,L4,Afternoon,3991.2,11.32,29.51,97.063,194,9.666,86.52,Normal
CELL-000065,2023-12-04 19:04:16,LFP,Factory_A,L2,Afternoon,3886.0,11.402,20.24,97.096,197,8.382,102.28,Normal
CELL-000066,2024-08-25 05:45:05,NCM,Factory_A,L1,Morning,3991.0,10.041,21.61,97.684,81,7.612,91.33,Normal
CELL-000067,2024-05-03 04:00:39,LFP,Factory_A,L1,Morning,3651.2,14.557,22.02,93.426,72,9.477,95.31,Defective
CELL-000068,2024-06-30 00:07:27,LFP,Factory_C,L4,Night,3941.0,14.457,20.52,97.658,190,8.81,92.18,Normal
CELL-000069,2023-03-10 08:13:00,NCA,Factory_A,L3,Morning,3757.6,9.151,22.39,98.121,40,8.261,97.84,Normal
CELL-000070,2023-09-04 10:04:09,NCM,Factory_A,L1,Morning,3755.4,11.765,22.67,98.196,165,9.216,90.99,Normal
CELL-000071,2024-07-08 21:08:49,LFP,Factory_A,L2,Morning,3946.8,10.844,22.26,97.452,38,8.461,98.51,Normal
CELL-000072,2024-11-20 12:53:47,NCA,Factory_C,L4,Night,3759.8,11.222,27.26,99.011,132,8.947,90.08,Normal
CELL-000073,2023-07-19 04:41:36,NCM,Factory_C,L3,Morning,3820.1,9.191,30.0,96.683,101,9.637,91.89,Normal
CELL-000074,2023-06-22 04:34:02,LFP,Factory_A,L4,Night,3953.9,8.871,32.75,97.535,43,7.884,95.88,Normal
CELL-000075,2023-06-27 19:39:26,NCM,Factory_A,L1,Morning,3817.0,8.85,29.21,97.703,79,8.522,94.43,Normal
CELL-000076,2024-12-08 13:09:33,LFP,Factory_A,L3,Afternoon,3835.9,10.556,31.48,97.629,177,9.098,93.32,Normal
CELL-000077,2024-06-25 08:26:25,NCM,Factory_C,L4,Morning,3850.0,9.5,21.05,98.26,206,9.127,96.64,Normal
CELL-000078,2023-01-28 16:44:13,LFP,Factory_B,L4,Night,3677.6,8.817,32.01,96.806,16,8.726,89.82,Normal
CELL-000079,2023-03-08 05:12:45,NCA,Factory_B,L4,Night,3897.2,8.72,22.77,98.234,208,7.978,98.94,Normal
CELL-000080,2024-10-04 12:59:50,LFP,Factory_C,L4,Night,4036.9,10.117,28.8,96.992,314,8.119,98.83,Normal
CELL-000081,2024-06-02 19:38:01,LFP,Factory_B,L2,Morning,3785.9,10.061,29.69,97.45,149,9.014,97.29,Normal
CELL-000082,2024-09-12 15:08:16,NCM,Factory_C,L2,Morning,3814.6,10.001,20.65,96.507,328,10.227,98.58,Normal
CELL-000083,2024-07-29 13:04:07,LFP,Factory_C,L1,Morning,3862.2,10.023,21.86,97.591,221,8.861,94.88,Normal
CELL-000084,2024-03-10 05:11:00,NCM,Factory_A,L3,Morning,3892.1,10.05,24.66,97.556,486,9.013,96.14,Normal
CELL-000085,2023-01-05 14:27:41,LFP,Factory_A,L1,Afternoon,3736.8,9.466,21.3,97.528,41,8.502,99.97,Normal
CELL-000086,2024-05-27 11:03:00,NCM,Factory_A,L1,Afternoon,3845.3,8.754,19.23,97.09,160,8.981,97.41,Normal
CELL-000087,2023-09-15 21:13:35,NCM,Factory_A,L3,Afternoon,3914.6,11.516,21.58,98.433,1,8.305,97.42,Normal
CELL-000088,2024-02-12 17:45:01,NCM,Factory_B,L2,Morning,3853.1,8.495,20.03,97.09,250,7.489,97.99,Normal
CELL-000089,2023-04-21 04:25:59,LFP,Factory_A,L2,Night,3994.3,7.878,28.86,97.209,56,8.283,98.08,Normal
CELL-000090,2024-03-25 04:38:49,NCM,Factory_C,L2,Morning,3749.5,9.99,22.46,96.815,137,9.157,94.66,Normal
CELL-000091,2024-08-17 20:18:04,NCM,Factory_C,L1,Morning,3919.2,8.246,27.45,98.434,29,7.178,88.32,Normal
